"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","simonkvasnicka","public","accounts","account_id",2,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_activity","account_id",1,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_activity","accounting_book_id",2,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_activity","activity_date",3,"timestamp without time zone",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_activity","department_id",5,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_activity","is_hidden_custom_line",6,"character varying",3,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_activity","subsidiary_id",7,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_period_activity","account_id",1,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_period_activity","accounting_book_id",2,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_period_activity","accounting_period_id",3,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_period_activity","department_id",5,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_period_activity","is_hidden_custom_line",6,"character varying",3,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_period_activity","subsidiary_id",7,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_period_activity_pe","account_id",1,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_period_activity_pe","accounting_book_id",2,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_period_activity_pe","accounting_period_id",3,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_period_activity_pe","balance_from_subsidiary_id",5,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_period_activity_pe","department_id",6,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_period_activity_pe","is_hidden_custom_line",7,"character varying",3,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_period_activity_pe","subsidiary_id",8,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_subsidiary_map","account_id",1,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","simonkvasnicka","public","account_subsidiary_map","subsidiary_id",2,"numeric",NULL,"PRIMARY KEY",NULL,NULL,NULL
